# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.688000000000000E+09;-7.265237678541196E+00;-3.376156500970188E+01;1.821986170170516E+01;-7.338635534624927E+01;1.821986170170516E+01;-7.338635534624927E+01;-9.428241590028652E+00;1.126081991326321E+02;5.778076783294678E+01;4.463564243789928E+00;
2.689000000000000E+09;-7.307812708635250E+00;-3.393375366783982E+01;1.824945189372329E+01;-7.471056206206943E+01;1.824945189372329E+01;-7.471056206206943E+01;-9.534909191072739E+00;1.110640240320907E+02;5.770159509866924E+01;5.538626500397972E+00;
2.690000000000000E+09;-7.337922731248891E+00;-3.408534577764839E+01;1.827632549915941E+01;-7.608727251055973E+01;1.827632549915941E+01;-7.608727251055973E+01;-9.633448989364181E+00;1.094184842843641E+02;5.781306213507445E+01;5.758563569696706E+00;
2.691000000000000E+09;-7.380599460059949E+00;-3.422286173365850E+01;1.830035226657434E+01;-7.742033881358739E+01;1.830035226657434E+01;-7.742033881358739E+01;-9.754351334740294E+00;1.079443175465742E+02;5.784912821752236E+01;5.954100760137726E+00;
2.692000000000000E+09;-7.430829293890012E+00;-3.440541817051944E+01;1.833279004177368E+01;-7.876305804869753E+01;1.833279004177368E+01;-7.876305804869753E+01;-9.848249955670248E+00;1.063712936191807E+02;5.769109971685809E+01;4.362024417002362E+00;
2.693000000000000E+09;-7.473255310745097E+00;-3.451458709044723E+01;1.835801329591356E+01;-8.012618720545429E+01;1.835801329591356E+01;-8.012618720545429E+01;-9.979705156903302E+00;1.047716545997140E+02;5.777552078443654E+01;5.410376003758113E+00;
2.694000000000000E+09;-7.516710038380049E+00;-3.465939246127785E+01;1.838569788353819E+01;-8.150889616759073E+01;1.838569788353819E+01;-8.150889616759073E+01;-1.008713361156755E+01;1.032155948486087E+02;5.776455917209865E+01;5.119657887419925E+00;
2.695000000000000E+09;-7.549153590592757E+00;-3.483039804528404E+01;1.841038695534021E+01;-8.286032238189338E+01;1.841038695534021E+01;-8.286032238189338E+01;-1.020634553061672E+01;1.016306077952013E+02;5.745790864656562E+01;5.193583044984600E+00;
2.696000000000000E+09;-7.600938260477416E+00;-3.495736425847021E+01;1.844157566093767E+01;-8.421559591042926E+01;1.844157566093767E+01;-8.421559591042926E+01;-1.032719454753460E+01;1.001482648697175E+02;5.761727512536311E+01;5.130049263959149E+00;
2.697000000000000E+09;-7.640115651203446E+00;-3.504583172766608E+01;1.846275362156070E+01;-8.559561055830729E+01;1.846275362156070E+01;-8.559561055830729E+01;-1.045676230675257E+01;9.856857982159312E+01;5.769944905390246E+01;5.033866064229910E+00;
2.698000000000000E+09;-7.679420331547258E+00;-3.513511710145387E+01;1.849091620082331E+01;-8.696942777184206E+01;1.849091620082331E+01;-8.696942777184206E+01;-1.058774729249551E+01;9.699898290402159E+01;5.776509012778145E+01;6.073801799438648E+00;
2.699000000000000E+09;-7.727190690563158E+00;-3.527410277006870E+01;1.851884280279440E+01;-8.833894491503986E+01;1.851884280279440E+01;-8.833894491503986E+01;-1.070375806946211E+01;9.546024738330982E+01;5.772541285750019E+01;5.561184881446230E+00;
2.700000000000000E+09;-7.772551567915591E+00;-3.540019091286914E+01;1.854627238893306E+01;-8.972139566799908E+01;1.854627238893306E+01;-8.972139566799908E+01;-1.084213275185713E+01;9.391324957250067E+01;5.762511551346429E+01;5.516845636792421E+00;
2.701000000000000E+09;-7.813195218059984E+00;-3.553748186136840E+01;1.856904102427520E+01;-9.110736013169370E+01;1.856904102427520E+01;-9.110736013169370E+01;-1.098222585465648E+01;9.223937218092732E+01;5.795161285122014E+01;4.162924681267165E+00;
2.702000000000000E+09;-7.861694337878461E+00;-3.561634665759425E+01;1.859399624298500E+01;-9.247473024406871E+01;1.859399624298500E+01;-9.247473024406871E+01;-1.110546460117928E+01;9.078895616401761E+01;5.761434003466255E+01;5.636090163592336E+00;
2.703000000000000E+09;-7.906952748887024E+00;-3.571924161763354E+01;1.861864466730554E+01;-9.386762394739610E+01;1.861864466730554E+01;-9.386762394739610E+01;-1.124629282307088E+01;8.926400128552579E+01;5.756474363681971E+01;5.802011658916629E+00;
2.704000000000000E+09;-7.952462284000457E+00;-3.579535475851470E+01;1.864224618655275E+01;-9.522488736982166E+01;1.864224618655275E+01;-9.522488736982166E+01;-1.139417623433685E+01;8.772361914296424E+01;5.769970099138844E+01;5.894429168067349E+00;
2.705000000000000E+09;-7.995704900393585E+00;-3.585977517758843E+01;1.866615727545512E+01;-9.661034447309079E+01;1.866615727545512E+01;-9.661034447309079E+01;-1.154064376022120E+01;8.616109567872329E+01;5.760279179376874E+01;4.900368328103516E+00;
