# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;db:Mem6[Trc3]_S21;ang:Mem6[Trc3]_S21;
2.648000000000000E+09;-5.474974609220194E+00;-2.366103581622700E+01;1.668990848728195E+01;-2.390280472083336E+01;1.668990848728195E+01;-2.390280472083336E+01;-6.595521384550968E+00;1.700784585199498E+02;5.834532768376513E+01;5.296140643415120E+00;1.711076292802139E+01;-2.194975199190512E+01;
2.649000000000000E+09;-5.490023048216379E+00;-2.386854457984984E+01;1.671733952535529E+01;-2.513422108563140E+01;1.671733952535529E+01;-2.513422108563140E+01;-6.633911198930774E+00;1.684793273150952E+02;5.805062934221652E+01;3.818182847216256E+00;1.713577537751777E+01;-2.319911847942472E+01;
2.650000000000000E+09;-5.512578817450883E+00;-2.406783974819058E+01;1.674552406548296E+01;-2.637940918734711E+01;1.674552406548296E+01;-2.637940918734711E+01;-6.660238247021684E+00;1.667962889652578E+02;5.795530175084826E+01;4.536347147416815E+00;1.715794853782629E+01;-2.444820130487432E+01;
2.651000000000000E+09;-5.537134127469358E+00;-2.431539404662078E+01;1.677249803578309E+01;-2.762394707415822E+01;1.677249803578309E+01;-2.762394707415822E+01;-6.701579144855029E+00;1.651310528020384E+02;5.816968140722526E+01;6.457315665289344E+00;1.718485920050436E+01;-2.569028275847056E+01;
2.652000000000000E+09;-5.565364359603851E+00;-2.455634783510961E+01;1.679987705824968E+01;-2.884276169237245E+01;1.679987705824968E+01;-2.884276169237245E+01;-6.741037779953398E+00;1.635292492588690E+02;5.796677574541118E+01;4.900993875664439E+00;1.720955615663713E+01;-2.691554179744575E+01;
2.653000000000000E+09;-5.583114293017157E+00;-2.477138566829393E+01;1.682958272384801E+01;-3.011066607170112E+01;1.682958272384801E+01;-3.011066607170112E+01;-6.764208740041738E+00;1.619484346535885E+02;5.801004406961546E+01;5.448408850315023E+00;1.723732274956904E+01;-2.818052954190620E+01;
2.654000000000000E+09;-5.604152685284221E+00;-2.498498938013021E+01;1.685510014439752E+01;-3.136181945084747E+01;1.685510014439752E+01;-3.136181945084747E+01;-6.811175073999256E+00;1.602945110011825E+02;5.788779320853187E+01;4.081854202332849E+00;1.725934776838621E+01;-2.944022045576234E+01;
2.655000000000000E+09;-5.630303715648179E+00;-2.525073791538884E+01;1.688706931037659E+01;-3.259275893535918E+01;1.688706931037659E+01;-3.259275893535918E+01;-6.849654531614570E+00;1.586479958760890E+02;5.823705942649006E+01;5.104994788072760E+00;1.729005934795033E+01;-3.066355810895708E+01;
2.656000000000000E+09;-5.652085877436697E+00;-2.543873187393159E+01;1.691652112444426E+01;-3.387624097924122E+01;1.691652112444426E+01;-3.387624097924122E+01;-6.888121261471802E+00;1.570512011524186E+02;5.772419144309915E+01;5.610822130322293E+00;1.731619601154143E+01;-3.194391618679932E+01;
2.657000000000000E+09;-5.677721549678010E+00;-2.568350526151044E+01;1.694490804869568E+01;-3.511604596430635E+01;1.694490804869568E+01;-3.511604596430635E+01;-6.936049049267248E+00;1.554088748872137E+02;5.795500611066817E+01;4.371936455649457E+00;1.734214896121090E+01;-3.319768213677018E+01;
2.658000000000000E+09;-5.708463816131850E+00;-2.587130117625740E+01;1.697518116557778E+01;-3.636783527304143E+01;1.697518116557778E+01;-3.636783527304143E+01;-6.981417181997492E+00;1.537572907619158E+02;5.809886598366624E+01;6.475649863175029E+00;1.737067884106630E+01;-3.444561805187285E+01;
2.659000000000000E+09;-5.729233935263769E+00;-2.612036838390518E+01;1.700486388736192E+01;-3.762906307446321E+01;1.700486388736192E+01;-3.762906307446321E+01;-7.026826887536155E+00;1.521783025422640E+02;5.808352544276286E+01;5.187042306322565E+00;1.739490644885948E+01;-3.569658966917059E+01;
2.660000000000000E+09;-5.752841403906891E+00;-2.633342072156810E+01;1.703417821093252E+01;-3.887243489980579E+01;1.703417821093252E+01;-3.887243489980579E+01;-7.076916127656196E+00;1.505563969961529E+02;5.810147715118117E+01;4.572714816425814E+00;1.742291631361620E+01;-3.695846045461580E+01;
2.661000000000000E+09;-5.777972684772453E+00;-2.661917448336704E+01;1.706121776274606E+01;-4.015355688910654E+01;1.706121776274606E+01;-4.015355688910654E+01;-7.119303605471629E+00;1.489545503182869E+02;5.791734126364932E+01;4.741355950815885E+00;1.744825767822023E+01;-3.822839960528149E+01;
2.662000000000000E+09;-5.795563334689353E+00;-2.678701346280266E+01;1.709161943681422E+01;-4.141540349761790E+01;1.709161943681422E+01;-4.141540349761790E+01;-7.177114158349030E+00;1.473532088405830E+02;5.794095549871867E+01;5.103023706999832E+00;1.747511744431304E+01;-3.950109196805586E+01;
2.663000000000000E+09;-5.822733970198827E+00;-2.693951910842525E+01;1.712244294459552E+01;-4.267388446257913E+01;1.712244294459552E+01;-4.267388446257913E+01;-7.224925399457581E+00;1.457621318433371E+02;5.795536077877777E+01;5.140262738714396E+00;1.750504316334124E+01;-4.076655181865165E+01;
2.664000000000000E+09;-5.850228587733783E+00;-2.717763215741519E+01;1.715371213565250E+01;-4.394774288261130E+01;1.715371213565250E+01;-4.394774288261130E+01;-7.274023512743852E+00;1.441307105045347E+02;5.790446257444437E+01;4.959098138525524E+00;1.753266391237793E+01;-4.204076141185867E+01;
2.665000000000000E+09;-5.879860383628296E+00;-2.735838986446570E+01;1.718344838929769E+01;-4.521068184140581E+01;1.718344838929769E+01;-4.521068184140581E+01;-7.335351997182032E+00;1.425347072327457E+02;5.794946853965718E+01;4.923435168510993E+00;1.756224302439982E+01;-4.331267631811458E+01;
2.666000000000000E+09;-5.909366066528385E+00;-2.764004461806396E+01;1.721431079560666E+01;-4.650821136964750E+01;1.721431079560666E+01;-4.650821136964750E+01;-7.385384403317047E+00;1.409097500569790E+02;5.790900988108596E+01;3.494427392867411E+00;1.759009662541582E+01;-4.459889176002748E+01;
2.667000000000000E+09;-5.933926566873684E+00;-2.779367848347411E+01;1.724606397319771E+01;-4.775173010192819E+01;1.724606397319771E+01;-4.775173010192819E+01;-7.456369161455489E+00;1.392463638277356E+02;5.791187863201050E+01;3.423363333398486E+00;1.761851846634764E+01;-4.585368138167807E+01;
2.668000000000000E+09;-5.965260757513660E+00;-2.801720840098788E+01;1.727260470652600E+01;-4.905436362309622E+01;1.727260470652600E+01;-4.905436362309622E+01;-7.510747885294905E+00;1.376624696942607E+02;5.761316168780220E+01;6.325299425522148E+00;1.764449531526437E+01;-4.716370532440489E+01;
2.669000000000000E+09;-5.990192530797906E+00;-2.820334198544134E+01;1.730449146979344E+01;-5.033184794018016E+01;1.730449146979344E+01;-5.033184794018016E+01;-7.575603802449892E+00;1.360973079537737E+02;5.800201859097073E+01;3.813849275107674E+00;1.767235117894800E+01;-4.842597135689605E+01;
2.670000000000000E+09;-6.020088646674465E+00;-2.840237231832683E+01;1.733846027630115E+01;-5.159356229220820E+01;1.733846027630115E+01;-5.159356229220820E+01;-7.637057784323741E+00;1.344465341039078E+02;5.775318692689324E+01;5.991383054446369E+00;1.770568280399802E+01;-4.971397593499731E+01;
2.671000000000000E+09;-6.054958775017216E+00;-2.860729600485876E+01;1.736565628593365E+01;-5.287846978491906E+01;1.736565628593365E+01;-5.287846978491906E+01;-7.709384421582862E+00;1.328434198533815E+02;5.781750833733831E+01;6.215448911108260E+00;1.773170803805866E+01;-5.099507847468993E+01;
2.672000000000000E+09;-6.076124432289703E+00;-2.879393629101346E+01;1.739580394991597E+01;-5.418051270764984E+01;1.739580394991597E+01;-5.418051270764984E+01;-7.783263126510086E+00;1.313156359054955E+02;5.784325448235606E+01;5.390595260868299E+00;1.775980904246811E+01;-5.230357330712793E+01;
2.673000000000000E+09;-6.105976106251338E+00;-2.898244649671610E+01;1.742941943851800E+01;-5.544391596095759E+01;1.742941943851800E+01;-5.544391596095759E+01;-7.851434458297093E+00;1.296694291963473E+02;5.796130784342413E+01;6.244116671508950E+00;1.778814417108694E+01;-5.357864353403155E+01;
2.674000000000000E+09;-6.136222258036997E+00;-2.917296028023108E+01;1.746226421409298E+01;-5.676304120282026E+01;1.746226421409298E+01;-5.676304120282026E+01;-7.926295671901917E+00;1.281207440233595E+02;5.771977006712611E+01;5.116780698280438E+00;1.782020018162139E+01;-5.489204189015540E+01;
2.675000000000000E+09;-6.168742321450661E+00;-2.942914540936437E+01;1.748691095254737E+01;-5.804104824927942E+01;1.748691095254737E+01;-5.804104824927942E+01;-7.996822345872552E+00;1.264901139345254E+02;5.776903373118494E+01;3.838954583520635E+00;1.784389606966189E+01;-5.617313171072199E+01;
2.676000000000000E+09;-6.192915247850360E+00;-2.963610990713698E+01;1.752313650071755E+01;-5.932429412835908E+01;1.752313650071755E+01;-5.932429412835908E+01;-8.074980190319646E+00;1.249013987924248E+02;5.768220530840992E+01;4.404550732891151E+00;1.787593474094615E+01;-5.745678986385574E+01;
2.677000000000000E+09;-6.233191159869666E+00;-2.979619655422352E+01;1.755130021221743E+01;-6.064814930890456E+01;1.755130021221743E+01;-6.064814930890456E+01;-8.149434050165047E+00;1.232365008783428E+02;5.796577398231858E+01;4.468388898057590E+00;1.790463987265350E+01;-5.878772475785399E+01;
2.678000000000000E+09;-6.263256882231031E+00;-3.000691266295038E+01;1.758048427397402E+01;-6.195501916252329E+01;1.758048427397402E+01;-6.195501916252329E+01;-8.228677101946349E+00;1.216943550878437E+02;5.779657240996648E+01;6.212149279692452E+00;1.792988628397494E+01;-6.009413223044312E+01;
2.679000000000000E+09;-6.292838894213465E+00;-3.012556064178117E+01;1.761493726255050E+01;-6.326083804424162E+01;1.761493726255050E+01;-6.326083804424162E+01;-8.313170481851703E+00;1.200806851157914E+02;5.787243072688856E+01;4.286942677756856E+00;1.796427769447289E+01;-6.140366360319695E+01;
2.680000000000000E+09;-6.323120987568775E+00;-3.036514689273580E+01;1.764323326416812E+01;-6.453195352275183E+01;1.764323326416812E+01;-6.453195352275183E+01;-8.399844059704428E+00;1.185326149904850E+02;5.784880428815874E+01;3.507102326538232E+00;1.798980981543193E+01;-6.267161134155305E+01;
2.681000000000000E+09;-6.356690184215255E+00;-3.049475120943000E+01;1.767190002418216E+01;-6.587619591952124E+01;1.767190002418216E+01;-6.587619591952124E+01;-8.487009605286723E+00;1.168872826309106E+02;5.792279536615200E+01;5.327572000768418E+00;1.801822342730119E+01;-6.403186481064586E+01;
2.682000000000000E+09;-6.392259614935229E+00;-3.065928514094905E+01;1.770556539239506E+01;-6.719687895795316E+01;1.770556539239506E+01;-6.719687895795316E+01;-8.567333809826231E+00;1.152603410705166E+02;5.779705596407150E+01;6.397313352264137E+00;1.804721863014183E+01;-6.536080220141454E+01;
2.683000000000000E+09;-6.425265206179858E+00;-3.086804947993775E+01;1.773361278064859E+01;-6.851987013876722E+01;1.773361278064859E+01;-6.851987013876722E+01;-8.668068855224924E+00;1.137095816610321E+02;5.769817264819486E+01;4.944931350974368E+00;1.807529708180227E+01;-6.668375419852848E+01;
2.684000000000000E+09;-6.463616620524437E+00;-3.104219183155111E+01;1.776283306455772E+01;-6.983304953175480E+01;1.776283306455772E+01;-6.983304953175480E+01;-8.758821286663474E+00;1.121417176802503E+02;5.768038903371015E+01;5.244114670414047E+00;1.810431330845251E+01;-6.800022207267824E+01;
2.685000000000000E+09;-6.494280771101298E+00;-3.117470960948073E+01;1.779720152709123E+01;-7.117982212352823E+01;1.779720152709123E+01;-7.117982212352823E+01;-8.856459046928265E+00;1.104826675458942E+02;5.769059577099444E+01;5.416348364399433E+00;1.813433912740141E+01;-6.935127959370641E+01;
2.686000000000000E+09;-6.532369599641774E+00;-3.133292656558802E+01;1.783101898267423E+01;-7.249008716058476E+01;1.783101898267423E+01;-7.249008716058476E+01;-8.953739734561740E+00;1.089567904986931E+02;5.781517568632260E+01;4.710125038231343E+00;1.816786498494312E+01;-7.066836776386660E+01;
2.687000000000000E+09;-6.567822749947572E+00;-3.147534706478163E+01;1.786000509367385E+01;-7.382798590895236E+01;1.786000509367385E+01;-7.382798590895236E+01;-9.050624106156423E+00;1.073208853841290E+02;5.762866532516169E+01;4.633490406070245E+00;1.819473387998823E+01;-7.201667604190337E+01;
2.688000000000000E+09;-6.606258732266844E+00;-3.162734874472179E+01;1.788854844008906E+01;-7.516921804924790E+01;1.788854844008906E+01;-7.516921804924790E+01;-9.166434287558198E+00;1.056771837139155E+02;5.778076783294678E+01;4.463564243789928E+00;1.822226023992411E+01;-7.337077760355314E+01;
