# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.115000000000000E+09;-1.993092341462984E-01;8.313558773749234E-01;-2.734172673024581E-01;8.121032782835035E-01;-1.285765030019710E-03;5.308062457735020E-04;
2.116250000000000E+09;-1.546331686395297E-01;8.411055471960117E-01;-2.297282664688700E-01;8.259291930012310E-01;-1.277344063026585E-03;5.450474606272603E-04;
2.117500000000000E+09;-1.100940892173786E-01;8.484122522113454E-01;-1.853951472037309E-01;8.371433691966594E-01;-1.280709302983913E-03;6.492532758167254E-04;
2.118750000000000E+09;-6.474011238803548E-02;8.534219041211675E-01;-1.408046542682341E-01;8.461915303710910E-01;-1.272709935412519E-03;7.247316669075109E-04;
2.120000000000000E+09;-1.955593388389458E-02;8.558831737771728E-01;-9.558482153546492E-02;8.527861883780939E-01;-1.279250410377936E-03;8.443993956700838E-04;
2.121250000000000E+09;2.596111144794851E-02;8.560992172227350E-01;-5.016405885701997E-02;8.569232047263494E-01;-1.261249614009420E-03;8.522341800948514E-04;
2.122500000000000E+09;7.147651101337878E-02;8.537698164254371E-01;-4.693714148903934E-03;8.587368791565670E-01;-1.136044366560931E-03;9.708710431623118E-04;
2.123750000000000E+09;1.167997485225187E-01;8.492055155378696E-01;4.064374700878016E-02;8.580161903856098E-01;-1.123388862963943E-03;1.052386800902524E-03;
2.125000000000000E+09;1.616660662311274E-01;8.419571071262534E-01;8.588924167010285E-02;8.548604144108946E-01;-1.056806428682986E-03;1.095867016100951E-03;
2.126250000000000E+09;2.061678131145055E-01;8.325780139285907E-01;1.307849944236888E-01;8.493993906179038E-01;-1.018146197408483E-03;1.151338683520743E-03;
2.127500000000000E+09;2.500887421830550E-01;8.207237476461442E-01;1.753563837415337E-01;8.416132600599509E-01;-9.780879295453566E-04;1.209827324496194E-03;
