# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.673000000000000E+09;-2.787133022671429E+01;-1.626543944101614E+02;-1.007756497665461E+00;-1.279106662683596E+02;-1.007756497665461E+00;-1.279106662683596E+02;-2.624870947018037E+01;1.129733236792356E+02;5.796130784342413E+01;6.244116671508950E+00;
2.674000000000000E+09;-2.803454707740043E+01;-1.631433291476468E+02;-1.010679547837370E+00;-1.285083372760985E+02;-1.010679547837370E+00;-1.285083372760985E+02;-2.626189238307408E+01;1.116347789214761E+02;5.771977006712611E+01;5.116780698280438E+00;
2.675000000000000E+09;-2.821557266591865E+01;-1.633699809635971E+02;-1.012886421121999E+00;-1.290749937285027E+02;-1.012886421121999E+00;-1.290749937285027E+02;-2.633468755391043E+01;1.116787455773623E+02;5.776903373118494E+01;3.838954583520635E+00;
2.676000000000000E+09;-2.830367410116867E+01;-1.641244218851999E+02;-1.010034677435290E+00;-1.296472686991767E+02;-1.010034677435290E+00;-1.296472686991767E+02;-2.643009723529620E+01;1.109570391189967E+02;5.768220530840992E+01;4.404550732891151E+00;
2.677000000000000E+09;-2.840412136411592E+01;-1.644320420245191E+02;-1.015935264310844E+00;-1.302544782400455E+02;-1.015935264310844E+00;-1.302544782400455E+02;-2.647581940777322E+01;1.106580742410986E+02;5.796577398231858E+01;4.468388898057590E+00;
2.678000000000000E+09;-2.861270880023397E+01;-1.653194908735258E+02;-1.010914173286160E+00;-1.308519646857140E+02;-1.010914173286160E+00;-1.308519646857140E+02;-2.652654699177834E+01;1.099674174940441E+02;5.779657240996648E+01;6.212149279692452E+00;
2.679000000000000E+09;-2.876460241397545E+01;-1.654984639743958E+02;-1.013020040862284E+00;-1.314439321321530E+02;-1.013020040862284E+00;-1.314439321321530E+02;-2.673654202963367E+01;1.098802756693185E+02;5.787243072688856E+01;4.286942677756856E+00;
2.680000000000000E+09;-2.893128126938537E+01;-1.663845017808869E+02;-1.009119483418408E+00;-1.319950817785838E+02;-1.009119483418408E+00;-1.319950817785838E+02;-2.675683556008110E+01;1.095103963348804E+02;5.784880428815874E+01;3.507102326538232E+00;
2.681000000000000E+09;-2.904727236316883E+01;-1.670226388609322E+02;-1.014424062062370E+00;-1.325877990871850E+02;-1.014424062062370E+00;-1.325877990871850E+02;-2.678325009681769E+01;1.091163658053341E+02;5.792279536615200E+01;5.327572000768418E+00;
2.682000000000000E+09;-2.931141204542307E+01;-1.675590248633049E+02;-1.011269416698142E+00;-1.331761406929518E+02;-1.011269416698142E+00;-1.331761406929518E+02;-2.687442407211549E+01;1.087973244835304E+02;5.779705596407150E+01;6.397313352264137E+00;
